Year,Income,Marginal Rate,Contribution,Employer Match,Total Invested,Total Room Available,RRSP Room Left,Tax Savings,Strategy
2026,20000.0,25.7%,1000.0,1000.0,2000.0,19800.0,18800.0,257.0,Match + Hold
2027,20000.0,25.7%,1000.0,1000.0,2000.0,22400.0,21400.0,257.0,Match + Hold
2028,20000.0,25.7%,1000.0,1000.0,2000.0,25000.0,24000.0,257.0,Match + Hold
2029,20000.0,25.7%,1000.0,1000.0,2000.0,27600.0,26600.0,257.0,Match + Hold
2030,80000.0,36.1%,20000.0,4000.0,24000.0,41000.0,21000.0,7224.0,Optimized
2031,83200.0,36.1%,20800.0,4160.0,24960.0,35976.0,15176.0,7512.0,Optimized
2032,86528.0,36.1%,21632.0,4326.0,25958.0,30751.0,9119.0,7813.0,Optimized
2033,89989.0,36.1%,22497.0,4499.0,26997.0,25317.0,2820.0,8125.0,Optimized
2034,93589.0,36.1%,19666.0,4679.0,24345.0,19666.0,0.0,7103.0,Optimized
2035,97332.0,36.1%,17520.0,4867.0,22386.0,17520.0,0.0,6328.0,Optimized
2036,101226.0,36.1%,18221.0,5061.0,23282.0,18221.0,0.0,6581.0,Optimized
2037,105275.0,36.1%,18949.0,5264.0,24213.0,18949.0,0.0,6844.0,Optimized
2038,109486.0,41.1%,19707.0,5474.0,25182.0,19707.0,0.0,7158.0,Optimized
2039,113865.0,41.1%,20496.0,5693.0,26189.0,20496.0,0.0,7662.0,Optimized
2040,118420.0,45.7%,21316.0,5921.0,27236.0,21316.0,0.0,8249.0,Optimized
